Group	Metric	Description	Perids	Values
Page User Demographics	page_fans_by_like_source	This is a breakdown of the number of Page likes from the most common places where people can like your Page	day	"page_suggestions,timeline,ads,registration,mobile,wizard-suggestion,profile-connect,external-connect,recommended-pages,favorites,api,page-browser,hovercard,search,page-profile,ticker,like-story"
Page User Demographics	page_fans_by_like_source_unique	"The number of people who liked your Page, broken down by the most common places where people can like your Page"	day	"page_suggestions,timeline,ads,registration,mobile,wizard-suggestion,profile-connect,external-connect,recommended-pages,favorites,api,page-browser,hovercard,search,page-profile,ticker,like-story"
Page User Demographics	page_fan_removes	Unlikes of your Page	day	
Page User Demographics	page_fan_removes_unique	Unlikes of your Page	day	
Page User Demographics	page_fans_by_unlike_source_unique	"The number of people who unliked your Page, broken down by the most common ways people can unlike your Page."	day	
Page Views	page_views	Page views	"day, week"	
Page Views	page_views_unique	Page Views from users logged into Facebook	"day, week"	
Page Views	page_views_login	Page Views from users logged into Facebook	day	
Page Views	page_views_login_unique	Page Views from users logged into Facebook	day	
Page Views	page_views_logout	Page views from users not logged into Facebook	day	
Page Views	page_views_external_referrals	Top referrering external domains sending traffic to your Page.	day	
Page Posts	page_posts_impressions	The number of impressions that came from all of your posts	"day, week, days_28"	
Page Posts	page_posts_impressions_unique	The number of people who saw any of your Page posts	"day, week, days_28"	
Page Posts	page_posts_impressions_paid	The number of impressions of your Page posts in an Ad or Sponsored Story	"day, week, days_28"	
Page Posts	page_posts_impressions_paid_unique	The number of people who saw your Page posts in an Ad or Sponsored Story	"day, week, days_28"	
Page Posts	page_posts_impressions_organic	The number of impressions of your posts in News Feed or Ticker or on your Page	"day, week, days_28"	
Page Posts	page_posts_impressions_organic_unique	"The number of people who saw your Page posts in News Feed or Ticker, or on your Page's Wall"	"day, week, days_28"	
Page Posts	page_posts_impressions_viral	The number of times users saw your posts via stories published by their friends	"day, week, days_28"	
Page Posts	page_posts_impressions_viral_unique	The number of people who saw your Page posts via a story from a friend	"day, week, days_28"	
Page Posts	page_posts_impressions_frequency_distribution	"The number of people who saw your Page posts, broken down by how many times people saw your posts"	"day, week, days_28"	
Page Posts	page_posts_impressions_by_paid_non_paid	"The number of impressions that came from all of your posts, broken down by total, paid, and non-paid"	"day, week, days_28"	
Page Posts	page_posts_impressions_by_paid_non_paid_unique	"The number of people who saw any of your Page posts, broken down by total, paid, and non-paid"	"day, week, days_28"	
Page Post Impressions	post_impressions	The number of impressions for your Page post	lifetime	
Page Post Impressions	post_impressions_unique	The number of people who saw your Page post	lifetime	
Page Post Impressions	post_impressions_paid	The number of impressions for your Page post in an Ad or Sponsored Story	lifetime	
Page Post Impressions	post_impressions_paid_unique	The number of people who saw your Page post in an Ad or Sponsored Story	lifetime	
Page Post Impressions	post_impressions_fan	The number of impressions for your Page post by people who have liked your Page	lifetime	
Page Post Impressions	post_impressions_fan_unique	The number of people who have like your Page who saw your Page post	lifetime	
Page Post Impressions	post_impressions_fan_paid	The number of impressions for your Page post by people who like your Page in an Ad or Sponsored Story	lifetime	
Page Post Impressions	post_impressions_fan_paid_unique	The number of people who have like your Page and saw your Page post in an Ad or Sponsored Story	lifetime	
Page Post Impressions	post_impressions_organic	"The number of impressions of your post in Newsfeed, Ticker, or on your Page's Wall"	lifetime	
Page Post Impressions	post_impressions_organic_unique	The number of people who saw your post in their Newsfeed or Ticker or on your Page's Wall	lifetime	
Page Post Impressions	post_impressions_viral	The number of impressions of your Page post in a story generated by a friend	lifetime	
Page Post Impressions	post_impressions_viral_unique	The number of people who saw your page post in a story from a friend	lifetime	
Page Post Impressions	post_impressions_by_story_type	The number of times this post was seen via a story published by a friend of the person viewing the post	lifetime	
Page Post Impressions	post_impressions_by_story_type_unique	"The number of people who saw your page post in a story from a friend, by story type"	lifetime	
Page Post Impressions	post_impressions_by_paid_non_paid	"The number of impressions for your Page post, broken down by total, paid, and non-paid"	lifetime	
Page Post Impressions	post_impressions_by_paid_non_paid_unique	"The number of people who saw your Page post, broken down by total, paid, and non-paid"	lifetime	
Page Post Engagement	post_consumptions	The number of times people clicked on anywhere in your posts without generating a story	lifetime	
Page Post Engagement	post_consumptions_unique	The number of people who clicked anywhere in your post without generating a story	lifetime	
Page Post Engagement	post_consumptions_by_type	"The number of times people clicked on anywhere in your posts without generating a story, by consumption type"	lifetime	
Page Post Engagement	post_consumptions_by_type_unique	"The number of people who clicked anywhere in your post without generating a story, by consumption type"	lifetime	
Page Post Engagement	post_engaged_users	The number of people who clicked anywhere in your posts	lifetime	
Page Post Engagement	post_negative_feedback	The number of times people took a negative action in your post (e.g. hid it)	lifetime	
Page Post Engagement	post_negative_feedback_unique	"The number of people who took a negative action in your post (e.g., hid it)"	lifetime	
Page Post Engagement	post_negative_feedback_by_type	The number of times people took a negative action in your post broken down by type	lifetime	
Page Post Engagement	post_negative_feedback_by_type_unique	The number of people who took a negative action in your post broken down by type	lifetime	
